country,city,name,description,rating,reviews,km_to_centre,min_private_price,min_dorm_price
colombia,medellin,The Wandering Paisa Backpackers Hostel,"Recommended in the latest Lonely Planet guidebook and winner of the Hostelworld award for *The Best Hostel In Colombia*, we invite you join us for a social and cultural backpackers experience! Centrally located and close to the Metro.",8.3,(1162),- 1.28km from city centre,€20.25,€8.55
colombia,medellin,Black Sheep Hostel Medellin,A travellers favourite in Medellin for over fifteen years. The Black Sheep is a New Zealand/ Colombian ru,9.2,(3170),- 5.39km from city centre,€19.69,€15.75
colombia,medellin,Oasis Hostel,Oasis Hostel is a unique hostel in the heart of Laureles with everything steps away. We are your home awa,9.1,(236),- 2.21km from city centre,,
colombia,medellin,Secret Buddha,Home away from home. That Simple. If you wish to be close to Medellin but enjoy nature this is for yo,9.6,(160),- 14.65km from city centre,€15.64,€14.63
colombia,medellin,Absolute Medellín Hotel & Hostel,"Absolute Medellín Hotel & Hostel is the accommodation that has absolutely everything that travellers want when traveling in another city, spacious common areas, comfortable to share and play with other guests, integration activities.",8.2,(6),- 1.25km from city centre,€7.13,€6.30
colombia,medellin,Gaston Coliving,Gaston Coliving offers comfortable rooms and excellent service in Medellin.,8.1,(220),- 2.56km from city centre,€10.13,€6.95
colombia,medellin,Florentina Hostal,Florentina Hostal welcomes our guests to enjoy the amazin city of Medellin!,8.0,(214),- 4.78km from city centre,€12.38,€12.38
colombia,medellin,Rock Hostel Medellin,"Rock Hostel Medellin has a restaurant, bar, a shared lounge and garden in Medellín!!",7.8,(66),- 1.47km from city centre,,€7.88
colombia,medellin,Key West Hostel,"Key West Hostel has a bar, shared lounge, a garden and casino in Medellín. Boasting family rooms, this property also provides guests with a terrace.",7.8,(52),- 1.76km from city centre,,€7.18
colombia,medellin,Selina Medellin,"Enjoy discovering the best places in Latin America, Colombia in north-central of Medellin with Selina.",7.1,(769),- 5.56km from city centre,€17.13,€11.11
colombia,medellin,Moradia Laureles Medellin,Some units feature a terrace and/or a balcony with inner courtyard or quiet street views!!,7.1,(1),- 2.78km from city centre,,€12.87
colombia,medellin,JEP Hostel,JEP Hostel is a clean spacious stylish hostel set in a beautiful old building.,7.1,(94),- 1.88km from city centre,€7.09,€6.30
colombia,medellin,New Memphis Hostal,Stay in New Memphis Hostal and enjoy Medellin.,7.1,(8),- 5.41km from city centre,€11.25,€11.25
colombia,medellin,Parceros HyH,Parceros HyH offers private and shared accommodation in Medellin.,6.9,(36),- 4.55km from city centre,€7.33,
colombia,medellin,Tiger Hostel,"A social hostel experience with many activities. Enjoy our bar, outdoor terrace, Live Music, and if you are a singer, feel free to come and make music with us, we have an open music studio for you!... Explore the city from a central location and come bac",6.0,(563),- 5.34km from city centre,€16.71,€9.90
colombia,medellin,Panela Hostel,"We have a large living room to chat with new people, a full equipped kitchen for you to cook whatever you want, we have everything to make your stay amazing!",5.5,(137),- 5.09km from city centre,€11.25,€10.13
colombia,medellin,Hostal Lleras Calle 8 Medellin,We are a hostel type accommodation located in one of the most exclusive areas of the city.,4.6,(464),- 5.49km from city centre,,€12.38
colombia,medellin,Casa Estación Hostel,"Casa Estación Hostel offers an excellent location that will allow you to be close to representative places such as Lleras Park, Poblado Park, Provenza and various restaurant options.",,,- 4.75km from city centre,€13.01,€11.67
colombia,medellin,Retiro Espiritual Pleyades,"Charming rural house, in the middle of the Colombian jungle mountains, two hectares of natural reserve and continuous reforestation.",,,- 61.53km from city centre,,€15.75
colombia,medellin,Hostal Muchu Picchu Medellín,"Hostal Machu Picchu Medellín is set 500 metres from El Poblado Park, less than 1 km from Lleras Park and 6.5 km from Laureles Park.",,,- 4.78km from city centre,€12.94,
colombia,medellin,Poblado Park Guest House,Close to everything. Most of our rooms have desks and there is plenty of space for relaxing or working in the social areas.,,,- 5.22km from city centre,€17.96,
colombia,medellin,Hostal Caps San Diego,"Located in Medellín, 2.9 km from El Poblado Park and 2 km from the centre, Hotel Hostal Caps San Diego features air-conditioned accommodation with free WiFi, and a bar.",,,- 3.05km from city centre,,€28.13
colombia,medellin,Casa Profunda,"Some accommodation includes a patio with garden views, a fully equipped kitchen. Situated in Medellín in the Antioquia region.",,,- 8.84km from city centre,€11.54,
colombia,medellin,Beminimal,"Beminimal is a building with 24 stylish mini-apartments, designed for you to have a comfortable stay full of positive experiences.",10,(9),- 1.61km from city centre,€26.43,
colombia,medellin,Hotel Manila Boutique,"Medellín is the capital of the mountainous province of Antioquia (Colombia). Nicknamed the ""city of eternal spring"" for its mild climate, it hosts the annual Flower Fair.",9.6,(8),- 4.81km from city centre,€21.26,
colombia,medellin,Hotel Suite del Parque,Hotel Suite del Parque is a new cozy hotel located in Laureles neighborhood.,9.4,(1),- 2.12km from city centre,€18.00,
colombia,medellin,Los Patios Cool Living,"Los Patios Cool Living has a garden, shared lounge, a terrace and restaurant in Medellín. Boasting a bar, the hotel is close to several noted attractions, around 1.4 km from Laureles Park.",9.4,(1),- 2.19km from city centre,€32.57,
colombia,medellin,Hotel Coliving 78a,"Medellín is the capital of the mountainous province of Antioquia (Colombia). Nicknamed the ""city of eternal spring"" for its mild climate.",9.0,(14),- 2.87km from city centre,€16.17,
colombia,medellin,Hotel Boutique Laureles Medellin,Hotel Boutique Laureles Medellin has everything you need to enjoy your stay,8.9,(5),- 1.95km from city centre,€28.13,
colombia,medellin,INTERNATIONAL HOSTEL MEDELLIN,International Hotel Medellin SAS features a garden and a terrace. The property is close to several noted attractions.,8.6,(10),- 4.95km from city centre,€10.91,
colombia,medellin,Casa Mosaiko Primer Parque,You’ll be literally steps away to the best gastronomic and entertainment offer of Laureles!!!,7.6,(2),- 2.06km from city centre,€6.67,
colombia,medellin,Hotel Laureles de Aburrá,"Hotel Laureles de Aburrá, is a hotel located in the best sector of Medellín, close to everything and completely away from noise, just two blocks from the tourist corridor of 70. Guarantee of good service, cleanliness and the best price.",6.3,(1),- 1.77km from city centre,€6.89,
colombia,medellin,Kromatic Hostel,"The property is 3.9 km from Explora Park, 4.1 km from La Macarena Bullring and 5 km from Laureles Park. Accommodation at the hotel is equipped with a flat-screen TV and free toiletries.",5.6,(2),- 2.12km from city centre,€14.63,
colombia,medellin,Edificio SantaMarta Medellin,"Uncover the artistic wonders of Plaza Botero, a mere 5 km away, and immerse yourself in the vibrant Comuna 13 neighborhood, located 7 km from the city center.",,,- 2.21km from city centre,€18.00,
colombia,medellin,Black Sheep Hostel Medellin,A travellers favourite in Medellin for over fifteen years. The Black Sheep is a New Zealand/ Colombian ru,9.2,(3170),- 5.39km from city centre,€19.69,€15.75
colombia,medellin,Oasis Hostel,Oasis Hostel is a unique hostel in the heart of Laureles with everything steps away. We are your home awa,9.1,(236),- 2.21km from city centre,,
colombia,medellin,Secret Buddha,Home away from home. That Simple. If you wish to be close to Medellin but enjoy nature this is for yo,9.6,(160),- 14.65km from city centre,€15.64,€14.63
colombia,medellin,Hestia Hotel Boutique,"Located in Medellín, 7.7 km from Lleras Park and less than 1 km from Laureles Park. With a shared lounge, the 4-star hotel has air-conditioned rooms with free Wi-Fi, each with a private bathroom.",,,- 3.03km from city centre,€10.80,
colombia,medellin,Edificio SantaMarta Medellin,"Uncover the artistic wonders of Plaza Botero, a mere 5 km away, and immerse yourself in the vibrant Comuna 13 neighborhood, located 7 km from the city center.",,,- 2.21km from city centre,€18.00,
colombia,medellin,Komfort Hostal,"Our neighbourhood is declared historical and architectural patrimony of the city. At the hostel, each room is equipped with a desk. Guest rooms at Hostal Komfort are equipped with a shared bathroom and bed linen.",,,- 1.79km from city centre,€6.90,
colombia,medellin,Hotel Moet,"Located in the pink area of Medellin. Featuring a bar and a terrace, Hotel Moet is set in Medellín, 1.2 km from Lleras Park.",,,- 5.39km from city centre,€25.99,
colombia,medellin,HoLa Med,"Located in Medellín, 7.9 km from El Poblado Park, 8.6 km from Lleras Park, and 1.1 km from Laureles Park. Completely away from noise, private bathroom in all rooms, excellent comfort.",,,- 3km from city centre,€8.10,
colombia,medellin,Hotel Hostal Caps El Poblado,"Our capsules have been designed to offer a unique accommodation experience, combining the comfort and convenience of a hotel room with the excitement and adventure of sleeping in a compact and innovative space.",,,- 6.17km from city centre,€39.38,€27.00
colombia,medellin,Casa Clandestina,"Located in Medellín and with El Poblado Park reachable within 600 metres, Casa Clandestina features a shared lounge, non-smoking rooms, free Wi-Fi and a terrace.",,,- 4.66km from city centre,€89925.00,
colombia,medellin,Don Leandro Coffee Farm,"A unique wellness experience at Arvi park forest. Fire pit with a magnificent city view, BBQ meal at night sleep in our glamping coffee cave.",,,- 9.35km from city centre,€29.88,
colombia,medellin,Laureles Guest House,"This place is perfect for travellers, couples, digital nomads who want to spend some time in a private, quiet and safe studio apartment with all the comforts.",,,- 2.82km from city centre,€12.38,
colombia,medellin,BeHappy Glamping,"With garden views, BeHappy Glamping is located in Medellín and has a restaurant, a shared lounge, snack bar and garden.",,,- 8.12km from city centre,€25.31,
colombia,medellin,61Prado Guesthouse,"61PRADO is situated in the beautiful historical neighborhood of Prado Centro, famous for its rich cultural life and its architectural heritage.",9.0,(137),- 1.53km from city centre,€10.33,
colombia,medellin,Poblado Guest House,"Welcome to my Guest House in “el Poblado”, the most safe and touristic part of Medellin.",8.3,(20),- 4.7km from city centre,€13.61,
colombia,bogota,Fatima Hostel Bogota,"Fatima Hostels Bogota, a great place to discover and enjoy Bogota.",9.1,(672),- 1.36km from city centre,€20.25,€7.88
colombia,bogota,Casa Dreamer Bogotá,"By the award-winning Dreamer Hostels with locations in Santa Marta & Palomino, Dreamer Bogotá brings the friendliness and warmth of the Caribbean Coast to Colombia’s cosmopolitan capital.",9.9,(20),- 1.61km from city centre,€13.50,€13.50
colombia,bogota,Roma Lodges House,"Spacious, well-lit house strategically located in Bogotá, it has excellent spaces to share with other guests or peaceful to rest.",10,(1),- 4.97km from city centre,€5.23,€8.97
colombia,bogota,The HiPinto Social Experience,The rooms are actually Studio-apartments. We are located in Chapinero Alto that is a very safe area in Bogota.,9.9,(20),- 4.39km from city centre,€14.00,€30.00
colombia,bogota,Casa Dreamer Bogotá,"By the award-winning Dreamer Hostels with locations in Santa Marta & Palomino, Dreamer Bogotá brings the friendliness and warmth of the Caribbean Coast to Colombia’s cosmopolitan capital.",9.9,(20),- 1.61km from city centre,€13.45,€12.64
colombia,bogota,Cedron Hostel,Cedron Hostel is a friendly hostel in the best area of Bogota.,9.8,(401),- 1.44km from city centre,€10.65,€7.40
colombia,bogota,Karuss Hostel,Karuss Hostel is located in the historic neighborhood of La Candelaria in downtown. It is in a strategic,9.8,(362),- 1.61km from city centre,€16.44,
colombia,bogota,Next Door,"Featuring a bar, Next Door offers rooms in Bogotá, 600 m from Corferias International Exhibition Center and 4.1 km from El Campin Stadium.",9.8,(14),- 3.49km from city centre,€11.21,€10.54
colombia,bogota,The Cranky Croc Hostel,"The Cranky Croc backpackers hostel in the historic centre of Bogota is the ideal place to relax and meet other travelers. Located nearby to Bogota most interesting sites, museums & nightlife, this beautifully remodeled colonial house features outdoor patios,...",9.6,(3247),- 1.5km from city centre,€22.11,€17.68
colombia,bogota,Selina Parque 93 Bogota,"Welcome to our new Colombian hostel, welcome to Selina Parque 93 Bogotá. Stay with us to get the full Selina experience.",9.5,(89),- 9.71km from city centre,€19.59,€16.40
colombia,bogota,Granada Hostel,"Granada Hostel is located in the middle of the historical centre,",9.4,(739),- 1.39km from city centre,€12.22,€7.62
colombia,bogota,Botanico Hostel Bogota,Botanico Hostel Bogota located in the historic Candelaria.,9.3,(1671),- 1.45km from city centre,€10.11,€9.12
colombia,bogota,Usaquen Station Hostel,WE TAKE COVID-19 SERIOUSLY. USE OF MASK IS MANDATORY. Long time backpackers Viviana and Juan are happy,9.3,(51),- 11.98km from city centre,€11.77,€13.45
colombia,bogota,Arche Noah Boutique Hostel,"Welcome to our oasis in the Candelaria, Bogotás historical center. The brand new quality Guesthouse is located within a walking distance of the main museums, squares, churches and other monuments.",9.3,(611),- 1.69km from city centre,€6.73,€7.85
colombia,bogota,Onde Pepe Hostel Candelos BogotÃ,"Feel secure, comfortable and right at home with us at Candelos Hostel",9.1,(60),- 1.52km from city centre,€10.09,€10.09
colombia,bogota,Masaya  Bogotá,"In the Candelaria district, Masaya Hostel Bogotá promotes a different travel. In a Colonial house of 750m2, Masaya offers a real immersion into Colombian Culture; with style, service and comfort.",9.1,(2110),- 1.52km from city centre,€22420.00,€11.09
colombia,bogota,Fatima Hostel Bogota,"Fatima Hostels Bogota, a great place to discover and enjoy Bogota.",9.1,(672),- 1.36km from city centre,€20.18,€7.85
colombia,bogota,Viajero Bogota Hostel & Spa,CULTURE AND RELAXATION IN ONE PLACE! Welcome to Bogota! Our first hostel in the chain to have a spa in,9.0,(312),- 1.8km from city centre,€4.15,€12.78
colombia,bogota,Trip Monkey Hostel Chapinero,"We are located in the Chapinero Center, one of the best locations in Bogotá!!We have most shared rooms.",9.0,(30),- 6.03km from city centre,€15.13,€6.73
colombia,bogota,Ulucaho,"Ulucaho is a house in the historic center of Candelaria with some private ensuite rooms, cable TV, WiFi, BBQ and much more!",8.9,(133),- 1.46km from city centre,€11.21,€10.54
colombia,bogota,Hostal Macondo Bogota,"In the middle of one of the most beautiful architectural conservation areas of the capital of Colombia, a",8.9,(97),- 6.68km from city centre,€10.76,€10.76
colombia,bogota,Urbana Hostel,"We are located in the Zona Rosa, just 3 blocks from Zona T walking well knower as the party area. We have private rooms and shared rooms and tourism information .",8.9,(19),- 7.8km from city centre,€13.32,€13.32
colombia,bogota,LimaLimon Bogota,Lima Limon Bogota is the perfect place where you can share your travel experiences with travellers around the world.,8.8,(202),- 1.62km from city centre,€12.33,€6.73
colombia,bogota,Hostal R10,"In R10 you will be at the epicenter of the city, where it all started with its foundation, where we decid",8.6,(452),- 1.19km from city centre,€8.41,€5.61
colombia,bogota,Astromelia Hostal,"Astromelia Hostal offers comfortable stay in the heart of Bogota. Incredible Solarium when you can work, shared bathrooms and kitchen.",8.6,(15),- 1.5km from city centre,€6.73,€10.09
colombia,bogota,Spotty Hostels,History and modernity in one place Bogotá is the capital and the largest city in Colombia.,8.6,(97),- 1.65km from city centre,€0.02,€12.33
colombia,bogota,Bababuy Hostel,Welcome to Bababuy Hostel the best accommodation choice for a unforgettable stay in Bogota.,8.5,(294),- 10.84km from city centre,€12.22,€7.85
colombia,bogota,Trip Monkey Hostel Zona G,"In the heart of the gastronomic area of ​​the country, because one of the best ways to get to know Colombia is through its food.",8.5,(97),- 6.17km from city centre,€10.93,€7.40
colombia,bogota,Mandala Hostel Bogota,"Conscious Travelers - Vegetarian - Yoga - Urban Garden - Cats Mandala Yoga Hostel is a peaceful sanctuary in the very heart of the bustling city of Bogota.We are a retreat hostel we daily Yoga Classes, meditation, Cacao ceremonies and bonfires weekly. With...",8.5,(470),- 9.3km from city centre,€10.80,€7.60
colombia,bogota,Selina La Candelaria Bogota,"The cultural crown jewel of the Andes, Bogotá is a massive, bustling mecca of art, history, cuisine, and nightlife, driven by a passion for modern, forward-thinking.",8.3,(714),- 1.31km from city centre,€16.08,€10.19
colombia,bogota,El Yarumo,El Yarumo Hostel the perfect match for you holidays in Colombia.,8.3,(263),- 1.52km from city centre,€8.97,€13.45
colombia,bogota,Hostal Casa Colibri,Welcome to Hostal Casa Colibri,8.3,(198),- 1.51km from city centre,€7.29,€5.61
colombia,bogota,Fatima Hostel Bogota,"Fatima Hostels Bogota, a great place to discover and enjoy Bogota.",9.1,(672),- 1.36km from city centre,€20.25,€7.88
colombia,bogota,Casa Dreamer Bogotá,"By the award-winning Dreamer Hostels with locations in Santa Marta & Palomino, Dreamer Bogotá brings the friendliness and warmth of the Caribbean Coast to Colombia’s cosmopolitan capital.",9.9,(20),- 1.61km from city centre,€13.50,€13.50
colombia,bogota,Casa del Sol,"Welcome to Casa del Sol in Bogota, Colombia.",8.3,(34),- 1.41km from city centre,€8.44,€6.75
colombia,bogota,North House Hostel,"Hi! and welcome to North House Hostel, the newest hostel in the north of Bogotá, Colombia.",8.2,(191),- 7.88km from city centre,€10.56,€5.86
colombia,bogota,Las Mandarinas,Las Mandarinas has everything you need to enjoy your stay,8.1,(6),- 4.86km from city centre,,€10.11
colombia,bogota,Selina Chapinero Bogota,"A whole new way to stay. Whether you’re a digital nomad, family on vacation or adventurous backpacker, you’ve come to the right place at Selina Los Heroes Bogota.",8.1,(310),- 7.31km from city centre,€12.91,€12.04
colombia,bogota,The Luun Hostel,"Boasting a bar and a shared lounge, The Luun Hostel is situated in Bogotá, 100 m from Quevedo's Jet and 400 m from Luis Angel Arango Library.",7.7,(37),- 1.51km from city centre,€14.63,€12.38
colombia,bogota,Casa Mood,"Casa Mood Hostel is a collective of local brands located in Usaquén, one of the most interesting and exc",7.6,(13),- 12.28km from city centre,€18.56,€10.13
colombia,bogota,Villacandelaria Hostel,"Villacandelaria is located in the Candelaria District, Bogota downtown historical neighborhood. This",7.4,(148),- 1.55km from city centre,€9.56,€10.13
colombia,bogota,Hobu Hostel,"Hobu Hostel is a collective space that include private areas, where you could live unique experiences during all your stay.",7.1,(309),- 5.08km from city centre,€8.44,€6.08
colombia,bogota,Kuyay Hostel,"Provides a shared lounge, non-smoking rooms, coworking area, free Wi-Fi throughout the property and a terrace.",7.1,(3),- 7.99km from city centre,,€4.73
colombia,bogota,Hotel Hostal Caps El Dorado,"Bogota is the capital and largest city in Colombia. It is a convergence point for people from all over the country, so it is diverse and multicultural.",6.9,(9),- 9.95km from city centre,,€22.50
colombia,bogota,82hostel,"82Hostel is located in one of the most safe and fun areas of the city of Bogota (ZONA ROSA & ZONA T), where you can find a variety of restaurants, bars, clubs and shopping.",6.7,(524),- 8.01km from city centre,€11.25,€8.55
colombia,bogota,Hostal CQ Chapinero,Hostal CQ Chapinero is located in Bogota in the town of Chapinero.,5.9,(62),- 6.39km from city centre,€5.62,€4.50
colombia,bogota,B&B CQ Lourdes,B&B CQ Lourdes is a nice hostel that offers 24 hours reception and cable TV.,3.3,(48),- 5.96km from city centre,€5.98,€5.52
colombia,bogota,Hostal Bogota Real,"Hostel Bogota Real, the best hostel in Bogota, welcomes you! We opened this year, guarantee you will find......",2.0,(22),- 10.49km from city centre,€14.06,
colombia,bogota,Casa Huesped Kiwi Hotel,You will find comfortable rooms and excellent service in Casa Huesped Kiwi Hotel.,2.0,(8),- 10.32km from city centre,€9.00,
colombia,bogota,Hostel para viajeros,The exuberant nature of Bogotá is one of the most important attractions of the city and the perfect excuse for sightseeing.,2.0,(2),- 8.25km from city centre,€9.00,€9.00
colombia,bogota,La Quinta,Come to La Quinta spend unforgettable holidays in Bogota.,0.0,(20),- 7.13km from city centre,€6.75,€5.63
colombia,bogota,Colombian Hostelling La Llanerita,"If you want to enjoy contact with nature, know beautiful rivers and landscapes, La Llanerita is the right place for you!!",,,- 94.7km from city centre,€2.25,€13.50
colombia,bogota,Reserva Botanica Choachi,"The rooms and cabins are decorated with original art masterpieces and handicrafts, and they are bioconstructions. One hectare territory full of biodiversity.",,,- 17.96km from city centre,€9.19,€5.52
colombia,bogota,Prisma Hostel,"Prisma Hostel is located in a central tourist area, presents a lot of cultural diversity in the centre of Bogota.",,,- 1.27km from city centre,€1.35,€5.63
colombia,bogota,Backpackers La Terraza,"La Terraza is situated in the Centro Internacional district of Bogotá, only 2.7 km from Bolivar Square.",,,- 2.69km from city centre,€9.19,€9.19
colombia,bogota,Las Aguas Studios,"Bogotá is the capital of Colombia and is located in the center of the country, in a region known as the Sabana de Bogotá on the eastern Andes mountain range.",9.0,(2),- 1.78km from city centre,€13.33,
colombia,bogota,Bendito Hostel,Hostel Bandido offers private and shared accommodation in a beautiful neighbourhood of Bogota.,8.8,(172),- 3.63km from city centre,€10.90,€7.85
colombia,bogota,Hostal Chorro de Quevedo Candelaria,Hostal Chorro De Quevedo offers nice and comfortable rooms.,5.2,(19),- 1.57km from city centre,€5.25,
colombia,bogota,Corazon del Molino Bogota,Corazon del Molino Bogota features modern comfort with a flat-screen TV and offers guests the convenience of free WiFi.,,,- 3.41km from city centre,€11.25,
colombia,bogota,Hotel Dorado Boutique,Dorado Boutique offers accommodation in Bogotá. All units in the hotel are fitted with a flat-screen TV with cable channels.,,,- 8.61km from city centre,€13.50,
colombia,bogota,Hotel Hostal Caps Campin,"Our capsules have been designed to offer a unique accommodation experience, combining the comfort and convenience of a hotel room with the excitement and adventure of sleeping in a compact and innovative space.",,,- 3.91km from city centre,,€24.75
colombia,bogota,El Hostel Granjero,"Sesquilé is a Colombian municipality in the department of Cundinamarca located in the province of Almeidas, 45 km northeast of Bogotá.",,,- 56.84km from city centre,€18.79,
colombia,bogota,Hostel Kongo,"Hostel Kongo features concierge services, non-smoking rooms, a shared lounge, free Wi-Fi throughout the property and a terrace. Boasting a bar!!",,,- 1.58km from city centre,€6.94,
colombia,bogota,La Crysalida,"Natural paradise, come and enjoy an environment in the middle of the mountain, where you can hear the sound of the ravine and have bird watching, and many more animal and plant species!!",,,- 45.42km from city centre,€13.50,
colombia,bogota,Fatima Hostel Bogota,"Fatima Hostels Bogota, a great place to discover and enjoy Bogota.",9.1,(672),- 1.36km from city centre,€20.25,€7.88
colombia,bogota,Casa Dreamer Bogotá,"By the award-winning Dreamer Hostels with locations in Santa Marta & Palomino, Dreamer Bogotá brings the friendliness and warmth of the Caribbean Coast to Colombia’s cosmopolitan capital.",9.9,(20),- 1.61km from city centre,€13.50,€13.50
colombia,bogota,Casa Creazzo 62,"Features accommodation with a garden and free Wi-Fi throughout the property. The property is located 7.4 km from Bolivar Square, 7.8 km from Luis Angel Arango Library.",10,(1),- 5.72km from city centre,€8.93,
colombia,bogota,Hostal La Candelaria Bogota,"We introduce a hostel with a family atmosphere, quiet and safe, oriented for family holiday, couples, sin",9.5,(117),- 1.61km from city centre,€14.39,
colombia,bogota,Hospedaje la Tía,"Our hostal is for everyone that find a break, we wait for you!!",8.6,(1),- 1.21km from city centre,€6.00,
